หัสลูกค้า,ชื่อลูกค้า,ประเภทลูกค้า,เลขที่เสียภาษี,ที่อยู่,ถนน,ตำบล,อำเภอ,จังหวัด,ไปรษณีย์,ชื่อผู้ติดต่อ,เบอร์โทร,อีเมล์,lineId,facebook
,บริษัท แพนด้า พริ้นติ้ง จำกัด,,,"15,17,19.",ซอยรามอินทรา 56,,เขตคันนายาว,กรุงเทพมหานคร,,,,,,
,โรงพิมพ์มหามกุฎราชวิทยาลัย-ศาลายา,,,92,,,พุทธมณฑล,นครปฐม,,,,,,
,บริษัท บีทูเอส จำกัด,,,57/4 หมู่ที่ 7,,,อำเภอบางพลี,สมุทรปราการ,,,,,,
,โรงงาน โรจนะ - ดี.เอช.เอ.,,,21/11 หมู่ที่ 9,,,อุทัย,อยุธยา,,,,,,
,โรงงานราชาการพิมพ์ (2002),,,"35,37 ",ซอยเพชรเกษม 41,,เขตบางแค,กรุงเทพมหานคร,,,,,,
,โกดังสหภัณฑ์-พระราม 5,,,145/12 หมู่ที่ 1,,,อำเภอบางกรวย,นนทบุรี,,,,,,
,โรงพิมพ์ยูไนเต็ด โปรดักชั่น,,,220 หมู่ที่ 13 ,ซอยเพชรเกษม 93 ถนนเพชรเกษม,,กระทุ่มแบน,สมุทรสาคร,,,,,,
,โรงงานสมุดสิริกิจ - ราษฎร์บูรณะ,,,432/784-5 ,ซอยประชาอุทิศ 79,,เขตราษฎร์บูรณะ,กรุงเทพมหานคร,,,,,,
,บริษัท พี เอ็น เค แอนด์,,,เลขที่ 5 ,ซอยมาเจริญ 1 แยก 1,,เขตหนองแขม,กรุงเทพมหานคร,,,,,,
,บริษัท เวิลด์ แพคเกจจิ้ง อินดัสตรี้,,,"10, 12 ",ซอยสะแกงาม 44,,เขตบางขุนเทียน,กรุงเทพมหานคร,,,,,,
,โกดัง เมย์ฟลาวเวอร์,,,32/57 หมู่ที่ 4,ซอยสุขสวัสดิ์ 2,,เขตจอมทอง,กรุงเทพมหานคร,,,,,,
,บริษัท แอล.ที.เพรส จำกัด,,,502 .,ซอยจรัญสนิทวงศ์ 65,,เขตบางพลัด,กรุงเทพมหานคร,,,,,,
,บัวทองแฟคทอรี่ 1,,,333/44 หมู่ที่ 3,,,อำเภอบางบัวทอง,นนทบุรี,,,,,,
,บริษัท เจ.พี.ซี. โค-บีซ (ไทยแลนด์),,,333/44 หมู่ที่ 3,,,อำเภอบางบัวทอง,นนทบุรี,,,,,,
,บริษัท ร็อคซี่ เปเปอร์ จำกัด,,,9,ซอยโชคชัยจงจำเริญ,,เขตยานนาวา,กรุงเทพมหานคร,,,,,,
,ห้างหุ้นส่วนจำกัด วิชรัตน์กรุ๊ป,,,89/42-43 หมู่ที่ 7,,,เขตบางแค,กรุงเทพมหานคร,,,,,,
,บริษัท สยามพริ้นท์ จำกัด,,,"66/26-29,115/66-67,69",,,เขตบึงกุ่ม,กรุงเทพมหานคร,,,,,,
,โรงงาน - อุตสาหกรรมสติ๊กเกอร์ไทย,,,143/2 หมู่ที่ 3,,,ดอนตูม,นครปฐม,,,,,,
,ปราณบุรี - บริษัท สยามแม็คโคร จำกัด,,,567 หมู่ที่ 3,,,ปราณบุรี,ประจวบคีรีขันธ์,,,,,,
,สระแก้ว - บริษัท สยามแม็คโคร จำกัด,,,1000,,,สระแก้ว,สระแก้ว,,,,,,
,บริษัท อิทธิบาทเปเปอร์ 2545 จำกัด,,,3 .,ซอยชลบุรี-บ้านบึง 1,,บ้านบึง,ชลบุรี,,,,,,
,เจริญพาณิชย์,,,124/19-20.,ซอยรามคำแหง 24,,เขตบางกะปิ,กรุงเทพมหานคร,,,,,,
,บริษัท เวอร์เท็กซ์ เทรดดิ้ง จำกัด,,,101/56 หมู่20,,,คลองหลวง,ปทุมธานี,,,,,,
,บริษัท ซิลเลี่ยน ซัพพลาย จำกัด,,,111/93 หมู่บ้านแฮปปี้แลนด์วิลล์,,,เขตบางนา,กรุงเทพมหานคร,,,,,,
,ร้าน อาทรพาณิชย์,,,305/4,,,เขตดุสิต,กรุงเทพมหานคร,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,160 ถนนพระรามที่ 2,,,เขตบางขุนเทียน,กรุงเทพมหานคร,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,669 อาคารห้างคาร์ฟูร์ ลาดพร้าว,,,เขตจตุจักร,กรุงเทพมหานคร,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,อาคารห้างคาร์ฟูร์รามอินทรา,,,เขตบางเขน,กรุงเทพมหานคร,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,9/9 ห้างคาร์ฟูร์บางใหญ่ ชั้น 2,,,อำเภอบางบัวทอง,นนทบุรี,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,1759/5 ,ถนนเพชรเกษม,,เขตบางแค,กรุงเทพมหานคร,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,55,ถนนศรีนครินทร์,,เขตประเวศ,กรุงเทพมหานคร,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,68/100 หมู่ที่ 8 ,ถนนรัตนาธิเบศร์,,อำเภอเมือง,นนทบุรี,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,2929,ถนนพระราม 4,,เขตคลองเตย,กรุงเทพมหานคร,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,565/66 หมู่ที่ 10,,,บางละมุง,ชลบุรี,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,อาคารตึกคอม ห้องเลขที่1A01 ชั้น1,,,ศรีราชา,ชลบุรี,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,126 หมู่ที่ 3 ,ถนนสายเอเซีย,,เมือง,อยุธยา,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,74-75 อาคารเซ็นทรัลเฟสติวัลภูเก็ต,,,เมือง,ภูเก็ต,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,677 ห้างคาร์ฟูร์หาดใหญ่ ชั้น 1,,,หาดใหญ่,สงขลา,,,,,,
,โกดังลิ้มใหม่ สาย 5 - LPN GROUP,,,45/9,,,,นครปฐม,,,,,,
,บริษัท ศูนย์รวมกระดาษ (2002) จำกัด,,,93/1 หมู่ที่ 3,,,ศรีราชา,ชลบุรี,,,,,,
,ห้างหุ้นส่วนจำกัด กรุงเทพวิทยา,,,5/10 หมู่ที่ 6 ชินเขต 2/40,,,เขตหลักสี่,กรุงเทพมหานคร,,,,,,
,ร้านอักษรภัณฑ์ (ภูเก็ต),,,158/4,,,เมือง,ภูเก็ต,,,,,,
,โกดัง มหพงษ์-บางใหญ่,,,54/5 หมู่ที่ 9,,,อำเภอบางใหญ่,นนทบุรี,,,,,,
,ห้างหุ้นส่วนจำกัด บรรณสารสเตชั่น,,,928/7-8,,,เขตดุสิต,กรุงเทพมหานคร,,,,,,
,โกดัง บริษัท พี.พี.ซี. อุตสาหกรรม,,,26/10-11.,ซอยโรงหมี่,,อำเภอบางบัวทอง,นนทบุรี,,,,,,
,บริษัท อุดมภัณฑ์เปเปอร์ จำกัด,,,58,ซอยรังสิต-ปทุมธานี 15,,ธัญบุรี,ปทุมธานี,,,,,,
,โรงงานรีมส์ แอนด์ โรลล์ นิคมฯ,,,นิคมอุตสาหกรรมสินสาคร,,,,สมุทรสาคร,,,,,,
,บริษัท เอ็กซ์เซลซิเออร์ ซัพพลายส์,,,26/102 หมู่ 4,ซอยพระราม 2 ซอย 18,,เขตจอมทอง,กรุงเทพมหานคร,,,,,,
,บริษัท ไทย เคเค อุตสาหกรรม จำกัด,,,29/1 หมู่ 5 ,ซอยธรรมศิริ,,อำเภอบางเสาธง,สมุทรปราการ,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,98 ถนนพหลโยธิน,,,ธัญบุรี,ปทุมธานี,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,ศูนย์การค้าเซ็นทรัลพลาซาแจ้งวัฒนะ,,,อำเภอปากเกร็ด,นนทบุรี,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,99 หมู่ที่ 8 ถนนพหลโยธิน,,,ลำลูกกา,ปทุมธานี,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,323 ถนนสีลม,,,เขตบางรัก,กรุงเทพมหานคร,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,31/1  ถนนพระราม 9,ซอยศูนย์วิจัย,,เขตห้วยขวาง,กรุงเทพมหานคร,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,295 ถนนพระราม 3,,,เขตบางคอแหลม,กรุงเทพมหานคร,,,,,,
,นานาภัณฑ์ (สระบุรี),,,591/25,,,เมือง,สระบุรี,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,55/88-55/89 ชั้น G หมู่ที่ 1,,,เมือง,ชลบุรี,,,,,,
,บริษัท วาย อาร์ ซี เท็กซ์ไทล์ จำกัด,,,"134,134/2-3 หมู่ที่ 6",,,กระทุ่มแบน,สมุทรสาคร,,,,,,
,ร้าน เชี่ยวชาญ,,,1507-1509,,,แก่งคอย,สระบุรี,,,,,,
,บริษัท จันวาณิชย์ ซีเคียวริตี้,,,30/24 หมู่ที่ 1,,,เมือง,สมุทรสาคร,,,,,,
,บริษัท สหชัยบราเดอร์ส จำกัด,,,43,,,เขตบางกะปิ,กรุงเทพมหานคร,,,,,,
,โกดัง หลินเคซี - เซนต์หลุยส์,,,33/35.,ซอยจันทน์ 18/7 แยก 3,,เขตสาทร,กรุงเทพมหานคร,,,,,,
,ร้านทรัพย์สุวรรณซัพพลาย,,,29921,,,เขตหนองเเขม,กรุงเทพมหานคร,,,,,,
,บริษัท ป.วัฒนา กรุ๊ป,,,21855,,,เมือง,อยุธยา,,,,,,
,ร้านวรรณวิมลสเตชั่นเนอรี่,,,4/21-25,,,เมือง,อยุธยา,,,,,,
,ร้านสบายใจค้าส่ง จังหวัดสระบุรี,,,248/1,,,เมือง,สระบุรี,,,,,,
,ห้างหุ้นส่วนจำกัด ผลิตภัณฑ์,,,142 หมู่ที่ 7 ,ซอยสุขาภิบาล 3,,กระทุ่มแบน,สมุทรสาคร,,,,,,
,บริษัท ไทยเปเปอร์ พลาส แพ็ค แอนด์,,,88 หมู่ 8,,,เมือง,ฉะเชิงเทรา,,,,,,
,ศูนย์กระจายสินค้า DC ลาดกระบัง,,,1035 หมู่ 9,,,เขตลาดกระบัง,กรุงเทพมหานคร,,,,,,
,ศูนย์กระจายสินค้า RDC ขอนแก่น,,,211 หมู่ 8,,,เมือง,ขอนแก่น,,,,,,
,ศูนย์กระจายสินค้า DC4 บางบัวทอง,,,148 หมู่ 7,,,อำเภอบางบัวทอง,นนทบุรี,,,,,,
,ศูนย์กระจายสินค้า RDC สุราษฎร์ธานี,,,189 หมู่ 8,,,ท่าฉาง,สุราษฎร์ธานี,,,,,,
,บริษัท ซีพี ออลล์ จำกัด (มหาชน),,,313 อาคาร ซี.พี.ทาวเวอร์ ชั้น 24,,,เขตบางรัก,กรุงเทพมหานคร,,,,,,
,ร้าน ศิริชัยศึกษาภัณฑ์,,,72/48-49,,,เมือง,นครปฐม,,,,,,
,บริษัท ที วี พี อินเตอร์ กรุ๊ป,,,490/8,,,เขตบางซื่อ,กรุงเทพมหานคร,,,,,,
,เปเปอร์มาร์ท,,,96 .,ซอยเสลาธง,,เมือง,เพชรบุรี,,,,,,
,โกดัง เอ็น เอส เอ็น โอเอซัพพลาย,,,22/105 หมู่ที่ 1,,,เขตคันนายาว,กรุงเทพมหานคร,,,,,,
,ร้านอักษรภัณฑ์ บ้านโป่ง,,,132,,,,ราชบุรี,,,,,,
,โกดัง เอ็ม.เอ็น.อินเตอร์,,,,,,เมือง,สมุทรสาคร,,,,,,
,บริษัท ไฮ มูน จำกัด,,,21/4 หมู่ 4,,,ไทรน้อย,นนทบุรี,,,,,,
,บริษัท เอก-ชัย ดีสทริบิวชั่น ซิสเทม,,,188/1 หมู่ที่ 4,,,วังน้อย,อยุธยา,,,,,,
,บริษัท ซี พี ซี ดีคอล จำกัด,,,362/4 หมู่ 17,,,บางเสาธง,สมุทรปราการ,,,,,,
,บริษัท ศิลปบรรณ จำกัด (ชลบุรี),,,206/4-5 หมู่ที่ 9,,,บางละมุง,ชลบุรี,,,,,,
,บริษัท เฟล็กโซพริ้นท์ (ไทยแลนด์),,,นิคมอุตสาหกรรมสินสาคร 30/52 หมู่ 1,,,เมือง,สมุทรสาคร,,,,,,
,บริษัท ดีจริงศึกษาภัณฑ์ จำกัด,,,ค.5/73-74,,,เมือง,อยุธยา,,,,,,
,ต. กิจวิบูลย์ โกดังเอกชัย-บางบอน 5,,,,ซอย 131,,เขตบางบอน,กรุงเทพมหานคร,,,,,,
,บริษัท อุดมภัณฑ์ ศูนย์เครื่องเขียน,,,115/7-8 หมู่ 2,,,อำเภอบางเสาธง,สมุทรปราการ,,,,,,
,ร้านวันชัย,,,4 หมู่ 6,,,ชัยบาดาล,ลพบุรี,,,,,,
,บริษัท ธนาเพรส จำกัด,,,9 .,ซอยลาดพร้าว 64 แยก 14,,เขตวังทองหลาง,กรุงเทพมหานคร,,,,,,
,โกดัง สุขสวัสดิ์ คอนเวิร์ทติ้ง,,,30/15 หมู่ที่ 1,,,เมือง,สมุทรสาคร,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,122,,,เขตบางพลัด,กรุงเทพมหานคร,,,,,,
,บริษัท ราล์ฟ แปซิฟิค จำกัด,,,159,ซอยยาสูบ 1,,เขตจตุจักร,กรุงเทพมหานคร,,,,,,
,เปเปอร์อินเด็กซ์,,,8/8 .,ซอยรามอินทรา 93,,เขตคันนายาว,กรุงเทพมหานคร,,,,,,
,หน้ามหาวิทยาลัยนเรศวร,,,99 หมู่ 9,,,เมือง,พิษณุโลก,,,,,,
,โรงพิมพ์พิษณุโลกดอทคอม,,,23/28,,,เมือง,พิษณุโลก,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,593 ชั้น G,,,เขตคันนายาว,กรุงเทพมหานคร,,,,,,
,โกดัง เอส แอนด์ พี อินเตอร์-กรุ๊ป,,,32,ซอยโพธิ์แก้ว 3 โกดังมนตรี F6,,เขตบางกะปิ,กรุงเทพมหานคร,,,,,,
,บริษัท นาฟ สเตชั่นเนอรี่ จำกัด,,,"199, 201",,,เมือง,นครราชสีมา,,,,,,
,เครื่องเขียนกุยบุรี - ประจวบคีรีขันธ์,,,808/1 หมู่ 1,,,กุยบุรี,ประจวบคีรีขันธ์,,,,,,
,บริษัท เจที อินดัสทรี จำกัด,,,224/5 หมู่ 8,,,อำเภอพระประแดง,สมุทรปราการ,,,,,,
,บริษัท วิชั่นพรีเพรส จำกัด,,,29/9 หมู่ 2,,,ลาดหลุมแก้ว,ปทุมธานี,,,,,,
,บริษัท คอมฟอร์ม จำกัด (โรงงานปราจีนบุรี),,,เลขที่ 226 หมู่ที่ 7,,,ศรีมหาโพธิ,ปราจีนบุรี,,,,,,
,บริษัท ยูดีเอส อินเตอร์พริ้นติ้ง,,,119-250 หมู่ที่ 6 ,ซอยกรุงเทพนนท์ 12,,อำเภอเมืองนนทบุรี,นนทบุรี,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,"9/8, 9/9",,,เขตห้วยขวาง,กรุงเทพมหานคร,,,,,,
,ศูนย์มะเร็ง - ลพบุรี,,,44572,,,เมือง,ลพบุรี,,,,,,
,บริษัท ไทย อันเป่า ผลิตภัณฑ์,,,601 หมู่ 11,,,ศรีราชา,ชลบุรี,,,,,,
,บริษัท ไทย อันเป่า ผลิตภัณฑ์,,,11 .,ซอยมาเจริญ 1 แยก 3-2,,เขตหนองแขม,กรุงเทพมหานคร,,,,,,
,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด,,,"29/1, 29/2 หมู่ที่3 ",ซอยชงโค-ชุมชนใน,,วังจันทร์,ระยอง,,,,,,
,โกดังสมุทรสาคร,,,136,,,กระทุ่มแบน,สมุทรสาคร,,,,,,
,หนองคาย - บริษัท สยามแม็คโคร จำกัด,,,232 หมู่ 12,,,เมือง,หนองคาย,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,982/22 ห้อง B112 ,ถนนสุขุมวิท,,เขตคลองเตย,กรุงเทพมหานคร,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,39 ชั้น P1 หมู่ 6,,,อำเภอบางพลี,สมุทรปราการ,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,เลขที่ 277/3 ห้อง G23 ชั้น G,,,เมือง,อุดรธานี,,,,,,
,บริษัท เฟิสท์ ออฟเซท (1993) จำกัด,,,99/11 หมู่ 7,,,อำเภอบางบัวทอง,นนทบุรี,,,,,,
,โกดัง เอสพีพี - ตลาดน้อย,,,95/1-2 ,ซอยทิพยลาภ (เจริญกรุง 29),,เขตสัมพันธวงศ์,กรุงเทพมหานคร,,,,,,
,บริษัท ทีเอพีเอ็น เปเปอร์ จำกัด,,,29/1568,ซอยหทัยราษฎร์ 37,,เขตคลองสามวา,กรุงเทพมหานคร,,,,,,
,บริษัท มานิตวิทยา จำกัด,,,"76,77,78-79 ",ซอยศรีสุริโยทัย 1,,เมือง,ลพบุรี,,,,,,
,โกดัง ซี.เอ.เอส. เปเปอร์ - สมุทรสาคร,,,นิคมอุตสาหกรรมสินสาคร,,,,สมุทรสาคร,,,,,,
,บริษัท เค.เอส.โกลฟ จำกัด,,,44/84 หมู่ที่ 2,,,อำเภอปากเกร็ด,นนทบุรี,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,607 ซีคอน บางแค B36 ชั้น B,,,เขตภาษีเจริญ,กรุงเทพมหานคร,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,88/1 หมู่ที่ 10,,,เมือง,สุราษฎร์ธานี,,,,,,
,สมิลัน เพรส - ปัตตานี,,,3/202 หมู่ 1,,,เมือง,ปัตตานี,,,,,,
,ร้านโรงพิมพ์นำสวัสดิ์ สุพรรณบุรี,,,ตลาดบางลี่ 12,,,,สุพรรณบุรี,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,319/1,,,เมือง,ลำปาง,,,,,,
,บริษัท ภัทรคอนเทนเนอร์ จำกัด,,,19/39 ,ซอยสินสุข (นวมินทร์ 103),,เขตบึงกุ่ม,กรุงเทพมหานคร,,,,,,
,บริษัท สุภาพฤกษ์ บิสซิเนส กรุ๊ป,,,88 หมู่ 3,,,แก่งคอย,สระบุรี,,,,,,
,บริษัท ทีเอ็มพีแพ็คเกจจิ้ง จำกัด,,,42/580 หมู่ที่ 5,,,สามพราน,นครปฐม,,,,,,
,สถาบันวิจัยจุฬาภรณ์,,,54,,,เขตหลักสี่,กรุงเทพมหานคร,,,,,,
,ห้างหุ้นส่วนจำกัด ไทยบุ๊คสโตร์,,,"2,4,6 ",ซอยรังสิต-ปทุมธานี 1,,ธัญบุรี,ปทุมธานี,,,,,,
,ศูนย์กระจายสินค้า RDC-ลำพูน,,,99 หมู่ 4,,,เมือง,ลำพูน,,,,,,
,ศูนย์กระจายสินค้าชลบุรี,,,22/5 หมู่ 10,,,ศรีราชา,ชลบุรี,,,,,,
,สถาบันวิจัยวิทยาศาสตร์สาธารณสุข,,,88/7 หมู่ 4,,,อำเภอเมือง,นนทบุรี,,,,,,
,โกดังนครราชสีมา - สมไทยเปเปอร์,,,306/3 (โกดังที่ 3) หมู่ 2,,,เมือง,นครราชสีมา,,,,,,
,บริษัท ซี.พี.อุตสาหกรรมบรรจุภัณฑ์,,,52 หมู่ 1,,,บางปะกง,ฉะเชิงเทรา,,,,,,
,ธนาคาร บีเอ็นพี พารีบาส์,,,อาคารอับดุลราฮิม ชั้น 29,,,เขตบางรัก,กรุงเทพมหานคร,,,,,,
,คลองหลวง ปทุมธานี - กลุ่มสยามบรรจุ,,,101/66 หมู่ 20,,,คลองหลวง,ปทุมธานี,,,,,,
,ห้างหุ้นส่วนจำกัด ไร้ซ์เปเปอร์,,,28/31 ,ซอยยศเส,,เขตป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,,,,,,
,ศาลาพระเกี้ยว - ศูนย์หนังสือแห่ง,,,,,,,กรุงเทพมหานคร,,,,,,
,สยามสแควร์ - ศูนย์หนังสือแห่ง,,,อาคารวิทยกิตติ์ ซอยจุฬา 64,,,,กรุงเทพมหานคร,,,,,,
,ราชบุรี - กลุ่มสยามบรรจุภัณฑ์,,,125 หมู่ 1,,,บางแพ,ราชบุรี,,,,,,
,หจก.พูนทรัพย์โกดัง,,,15,,,เขตบางขุนเทียน,กรุงเทพมหานคร,,,,,,
,บริษัท ธนบุรี เฮลท์แคร์ กรุ๊ป จำกัด,,,34/1 ,ซอยอิสรภาพ 44,,เขตบางกอกน้อย,กรุงเทพมหานคร,,,,,,
,บริษัท มติชน จำกัด (มหาชน),,,12 หมู่บ้านประชานิเวศน์ 1,,,เขตจตุจักร,กรุงเทพมหานคร,,,,,,
,บริษัท ซี.ดับบลิว.ดี.อินเตอร์,,,58/13 หมู่5 ,ซอยสุขสวัสดิ์14,,เขตจอมทอง,กรุงเทพมหานคร,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,201 หมู่ที่ 7,,,เมือง,เชียงใหม่,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,"ห้อง G01 ชั้น G 99,99/1,99/2 หมู่ 4",,,เมือง,เชียงใหม่,,,,,,
,บริษัท บีทูเอส จำกัด,,,57/4 หมู่ที่ 7,,,อำเภอบางพลี,สมุทรปราการ,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,ชั้น 1 เลขที่ 99 หมู่ 7,,,เมือง,สระบุรี,,,,,,
,บริษัท แอล พี นครธน จำกัด,,,168,ซอยสิรินธร 7,,เขตบางพลัด,กรุงเทพมหานคร,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,"4/222 ชั้น 2 ห้องเลขที่ 2S19/1,2S19",,,ศรีราชา,ชลบุรี,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,1520,,,หาดใหญ่,สงขลา,,,,,,
,บริษัท ก.สหภัณฑ์ สเตชั่นเนอรี่,,,200/79 หมู่ที่ 2 ,ซอยรัฐบำรุง 5,,ปราณบุรี,ประจวบคีรีขันธ์,,,,,,
,หจก.สมใจวัสดุ - ปราจีนบุรี,,,138-140,,,เมือง,ปราจีนบุรี,,,,,,
,หจก. เสริมชาติ - ลพบุรี,,,96/42 หมู่ 4,,,เมือง,ลพบุรี,,,,,,
,สาขาบึงกาฬ - บริษัท สยามแม็คโคร,,,680 หมู่ 7,,,เมือง,บึงกาฬ,,,,,,
,ห้างหุ้นส่วนจำกัด เอ.บี.เค.,,,573/1,,,เมือง,สระบุรี,,,,,,
,บริษัท ธารารักษ์เปเปอร์กรุ๊ป จำกัด,,,190/26-27,,,เมือง,นครศรีธรรมราช,,,,,,
,ร้านพิมลภัณฑ์ - ลพบุรี,,,50-50/1,,,เมือง,ลพบุรี,,,,,,
,ร้าน ที.เค.แอล หนังสือสื่อเครื่อง,,,18,,,,ลพบุรี,,,,,,
,ศูนย์กระจายสินค้า คลังมหาชัย,,,44603,,,เมือง,สมุทรสาคร,,,,,,
,บริษัท ฟู่ซุ่น สติ๊กเกอร์ จำกัด,,,401 หมู่ 4,,,อำเภอเมืองสมุทรปราการ,สมุทรปราการ,,,,,,
,โกดังชลบุรี ฟู่ซุ่น สติ๊กเกอร์,,,57 หมู่ 6,,,เมือง,ชลบุรี,,,,,,
,โกดังบุปผาราม (เทศบาลสาย 2),,,405-409,,,เขตธนบุรี,กรุงเทพมหานคร,,,,,,
,บริษัท โกลบอล คอนซูเมอร์ จำกัด,,,28,ซอยแสมดำ 17,,เขตบางขุนเทียน,กรุงเทพมหานคร,,,,,,
,ห้องแยกเอกสาร (หลังอาคาร 4),,,1,,,เขตบางซื่อ,กรุงเทพมหานคร,,,,,,
,บริษัท ซัสโก้ จำกัด (มหาชน),,,139,,,เขตราษฎร์บูรณะ,กรุงเทพมหานคร,,,,,,
,ร้านใบตอง,,,"162/19, 29, 31 หมู่ 12",,,พระพุทธบาท,สระบุรี,,,,,,
,คณะวิทยาศาสตร์ จุฬาลงกรณ์,,,อาคารแถบนีละนิธิ ห้องพัสดุ,,,เขตปทุมวัน,กรุงเทพมหานคร,,,,,,
,สำนักงานประกันสังคม,,,88/28 หมู่ 4,,,อำเภอเมืองนนทบุรี,นนทบุรี,,,,,,
,โกดังใหม่ พี.ที.เอ็ม. - เชียงใหม่,,,141/343,,,,เชียงใหม่,,,,,,
,บริษัท เฮงเป้งฮง จำกัด,,,352/22,,,เมือง,สระบุรี,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,99/8 หมู่ 8,,,เมือง,สมุทรสาคร,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,"99/19, 99/20 หมู่ 2",,,สามพราน,นครปฐม,,,,,,
,บริษัท เลิฟเเอนด์ลิพเพลส จำกัด,,,9.69972E+20,,,เขตคลองสามวา,กรุงเทพมหานคร,,,,,,
,บริษัท แอล ที เค อินเตอร์เทรดดิ้ง,,,"10/39,10/106 หมู่ที่ 3",,,เมือง,ชลบุรี,,,,,,
,ไทภูมิ พับลิชชิ่ง - ปากเกร็ด,,,24 หมู่ 7,,,อำเภอปากเกร็ด,นนทบุรี,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,ชั้นที่ 1 เลขที่ 910,,,เมือง,ฉะเชิงเทรา,,,,,,
,บริษัท เอ็น พี เค มาสเตอร์แพลน,,,11-13 .,ซอยบางนา-ตราด 12,,เขตบางนา,กรุงเทพมหานคร,,,,,,
,วินเปเปอร์ โปรดักส์ - สาธุ 49,,,,ซอยโชคชัยจงจำเริญ 17,,เขตยานนาวา,กรุงเทพมหานคร,,,,,,
,บริษัท สหศรีรัตนสมบุญ จำกัด,,,"9,11,13 ตรอกกัปตันบุช",,,เขตบางรัก,กรุงเทพมหานคร,,,,,,
,ห้างหุ้นส่วนจำกัด เค.ซี.แอนด์ คลีน,,,23 หมู่ 3,,,เมือง,สิงห์บุรี,,,,,,
,บริษัท เจ.ซี.เลซ จำกัด - นครปฐม,,,254 หมู่ 3,,,เมือง,นครปฐม,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,789 หมู่2 ชั้น1,,,,สมุทรปราการ,,,,,,
,บริษัท แอคทีฟ ทีม (1999) จำกัด,,,9/164,,,เขตบางแค,กรุงเทพมหานคร,,,,,,
,บริษัท ดีแบค (ประเทศไทย) จำกัด,,,9/8 หมู่ที่ 3,,,ลาดหลุมแก้ว,ปทุมธานี,,,,,,
,อัมพวา-บริษัท พรีแพค ประเทศไทย,,,1/1 หมู่ที่ 4,,,อัมพวา,สมุทรสงคราม,,,,,,
,คณะครุศาสตร์อุตสาหกรรมและเทคโนโลยี,,,คณะครุศาสตร์อุตสาหกรรม,,,,กรุงเทพมหานคร,,,,,,
,บริษัท ไบรท์ ไอเดีย ซัพพลาย,,,338 หมู่ 4,,,เมือง,สุราษฎร์ธานี,,,,,,
,บริษัท ออฟฟิศเมท (ไทย) จำกัด,,,10 หมู่ที่ 2,,,ลำลูกกา,ปทุมธานี,,,,,,
,ชลบุรี - กลุ่มสยามบรรจุภัณฑ์,,,321/9 หมู่ 6,,,ศรีราชา,ชลบุรี,,,,,,
